column_name,mean,median,max,min
ccheques_emitidos_rechazados,0,0,44,0
mcheques_emitidos_rechazados,91,0,565889,0
tcallcenter,0,0,1,0
ccallcenter_transacciones,0,0,67,0
thomebanking,0,1,1,0
chomebanking_transacciones,51,32,7287,0
tautoservicio,0,0,1,0
cautoservicio_transacciones,0,0,418,0
tcajas,0,0,1,0
tcajas_consultas,0,0,0,0
tcajas_depositos,0,0,1,0
tcajas_extracciones,0,0,1,0
tcajas_otras,0,0,1,0
ccajeros_propio_transacciones,1,0,83,0
mcajeros_propio,2695,0,172500,0
ccajeros_ajenos_transacciones,1,0,45,0
mcajeros_ajenos,1441,0,64400,0
tmovimientos_ultimos90dias,0,1,1,0
Master_marca_atraso,0,0,1,0
Master_cuenta_estado,10,10,19,10
Master_mfinanciacion_limite,30580,15525,605912,0
Master_Fvencimiento,20160436,20160731,99991231,20020630
Master_Finiciomora,20140590,20140611,20140630,20140212
Master_msaldototal,3285,299,247093,-73668
Master_msaldopesos,3053,288,207388,-73668
Master_msaldodolares,232,0,182264,-23305
Master_mconsumospesos,1712,369,207000,-22209
Master_mconsumosdolares,46,0,22413,0
Master_mlimitecompra,34016,17250,673164,966
Master_madelantopesos,64,0,17250,0
Master_madelantodolares,2,0,1803,0
Master_fultimo_cierre,20140584,20140626,20140626,20070426
Master_mpagado,456,0,206051,0
Master_mpagospesos,-3243,-1538,8924,-221316
Master_mpagosdolares,34,0,20138,0
Master_fechaalta,20083707,20090303,20140630,20000608
Master_mconsumototal,1712,369,207000,-22209
Master_tconsumos,0,1,1,0
Master_tadelantosefectivo,0,0,1,0
Master_mpagominimo,735,23,187887,0
Visa_marca_atraso,0,0,1,0
Visa_cuenta_estado,10,10,19,10
Visa_mfinanciacion_limite,38212,21735,2266880,0
Visa_Fvencimiento,20525157,20160630,99991231,19990531
Visa_Finiciomora,20140685,20140701,20140701,20140204
Visa_msaldototal,7399,3971,899488,-61306
Visa_msaldopesos,8084,4445,1034411,-70502
Visa_msaldodolares,426,0,212581,-35401
Visa_mconsumospesos,3438,1609,771638,-17958
Visa_mconsumosdolares,60,0,26115,0
Visa_mlimitecompra,42464,24150,2266880,661
Visa_madelantopesos,66,0,28750,-336
Visa_madelantodolares,2,0,1827,0
Visa_fultimo_cierre,20140583,20140626,20140626,20060622
Visa_mpagado,2080,0,278531,0
Visa_mpagospesos,-6008,-3805,18870,-448506
Visa_mpagosdolares,39,0,29081,0
Visa_fechaalta,20065647,20070807,20140630,19860904
Visa_mconsumototal,3438,1609,771638,-17958
Visa_tconsumos,0,1,1,0
Visa_tadelantosefectivo,0,0,1,0
Visa_mpagominimo,1738,839,264276,0
participa,1,1,1,1
