column_name,mean,median,max,min
Visa_marca_atraso,0,0,1,0
Visa_cuenta_estado,10,10,19,10
Visa_mfinanciacion_limite,37932,21735,2266880,0
Visa_Fvencimiento,20516183,20160531,99991231,19990531
Visa_Finiciomora,20140484,20140513,20140522,20140204
Visa_msaldototal,7238,3854,873996,-81390
Visa_msaldopesos,7896,4314,1005096,-93599
Visa_msaldodolares,429,0,255466,-34917
Visa_mconsumospesos,2299,440,353489,-10349
Visa_mconsumosdolares,41,0,29030,0
Visa_mlimitecompra,42171,24150,2266880,661
Visa_madelantopesos,43,0,23000,0
Visa_madelantodolares,1,0,1822,0
Visa_fultimo_cierre,20140486,20140529,20140529,20060622
Visa_mpagado,681,0,469645,0
Visa_mpagospesos,-6131,-3802,6065,-285004
Visa_mpagosdolares,44,0,18232,0
Visa_fechaalta,20065234,20070727,20140529,19860904
Visa_mconsumototal,2299,440,353489,-10349
Visa_tconsumos,0,1,1,0
Visa_tadelantosefectivo,0,0,1,0
Visa_mpagominimo,1739,828,218718,0
participa,1,1,1,1
